contract_id,talent_name,talent_name_en,client_name,brand,category,start_date,end_date,exclusivity_type,competitive_restrictions,renewal_status,assigned_manager
C001,田中太郎,Taro Tanaka,サントリー,ザ・プレミアム・モルツ,酒類,2025-01-01,2026-03-15,完全独占,酒類全般,更新検討中,山田花子
C002,田中太郎,Taro Tanaka,トヨタ,クラウン,自動車,2024-06-01,2026-06-01,カテゴリ独占,国産自動車,継続予定,山田花子
C003,鈴木花子,Hanako Suzuki,資生堂,SHISEIDO,化粧品,2024-04-01,2026-02-15,完全独占,化粧品全般,期限切れ間近,鈴木一郎
C004,鈴木花子,Hanako Suzuki,パナソニック,Panasonic,家電,2025-03-01,2027-03-01,カテゴリ独占,なし,継続予定,鈴木一郎
C005,渡辺翔,Sho Watanabe,アディダス,adidas Originals,スポーツ,2024-09-01,2026-09-01,グローバル独占,スポーツブランド全般,継続予定,田中次郎
C006,山本美咲,Misaki Yamamoto,花王,ビオレ,日用品,2025-02-01,2026-02-20,カテゴリ独占,スキンケア製品,期限切れ間近,鈴木一郎
C007,山本美咲,Misaki Yamamoto,日清,カップヌードル,食品,2024-10-01,2026-10-01,カテゴリ独占,即席麺,継続予定,鈴木一郎
C008,中村優,Yu Nakamura,ユニクロ,UT,ファッション,2025-01-15,2026-01-15,完全独占,アパレル全般,更新検討中,木村美香
C009,中村優,Yu Nakamura,ソニー,PlayStation,エンタメ,2024-08-01,2026-08-01,カテゴリ独占,ゲーム機器,継続予定,木村美香
C010,キム・ジヒョン,Jihyun Kim,サムスン,Galaxy,電子機器,2024-05-01,2026-05-01,グローバル独占,スマートフォン全般,継続予定,朴泰俊
C011,新垣結衣,Yui Aragaki,メルセデス・ベンツ,Mercedes-Benz,自動車,2024-07-01,2027-07-01,完全独占,高級車,継続予定,山田花子
C012,新垣結衣,Yui Aragaki,SK-II,SK-II,化粧品,2025-01-01,2026-03-01,カテゴリ独占,スキンケア,更新検討中,山田花子
C013,橋本大輝,Daiki Hashimoto,ミズノ,MIZUNO,スポーツ用品,2024-04-01,2026-04-01,完全独占,スポーツ用品全般,継続予定,田中次郎
C014,伊藤さくら,Sakura Ito,コカコーラ,Coca-Cola,飲料,2024-06-01,2026-02-28,完全独占,清涼飲料水,期限切れ間近,山田花子
