talent_id,name,name_en,agency,current_contracts,ng_brands,ng_categories,scandal_history,risk_level,expert_contact,expert_department,expert_experience
T001,田中太郎,Taro Tanaka,スターダスト,サントリー|トヨタ,アサヒビール|キリン,酒類|競合自動車,なし,低,山田花子,タレント第一部,10年
T002,佐藤健太,Kenta Sato,ホリプロ,ソフトバンク,なし,なし,2024年SNS炎上(軽微),中,鈴木一郎,タレント第二部,5年
T003,鈴木花子,Hanako Suzuki,アミューズ,資生堂|パナソニック,コーセー,化粧品競合,なし,低,山田花子,タレント第一部,10年
T004,高橋誠,Makoto Takahashi,ジャニーズ,なし,なし,なし,2023年週刊誌報道(交際発覚),高,佐々木健,リスク管理部,8年
T005,山本美咲,Misaki Yamamoto,オスカー,花王|日清,なし,なし,なし,低,鈴木一郎,タレント第二部,5年
T006,渡辺翔,Sho Watanabe,LDH,アディダス,ナイキ,スポーツ競合,なし,低,田中次郎,スポーツ担当,7年
T007,伊藤さくら,Sakura Ito,エイベックス,コカコーラ,ペプシ,飲料競合,2025年交際報道,中,山田花子,タレント第一部,10年
T008,中村優,Yu Nakamura,研音,ユニクロ|ソニー,なし,なし,なし,低,木村美香,ファッション担当,6年
T009,小林真央,Mao Kobayashi,スイートパワー,ロレアル,資生堂|コーセー,化粧品競合,なし,低,山田花子,タレント第一部,10年
T010,加藤龍,Ryu Kato,ワタナベ,任天堂,ソニー,ゲーム競合,2024年飲酒運転報道,高,佐々木健,リスク管理部,8年
T011,山田愛,Ai Yamada,フラーム,ディオール|シャネル,なし,なし,なし,低,木村美香,ファッション担当,6年
T012,松本健,Ken Matsumoto,吉本興業,サッポロビール,アサヒ|キリン,酒類競合,2023年不倫報道,高,佐々木健,リスク管理部,8年
T013,井上美優,Miyu Inoue,乃木坂46,明治,森永|グリコ,菓子競合,なし,低,鈴木一郎,タレント第二部,5年
T014,キム・ジヒョン,Jihyun Kim,韓国SM,サムスン,LG|ソニー,電子機器競合,なし,低,朴泰俊,韓国タレント担当,4年
T015,パク・ミンジュン,Minjun Park,韓国JYP,現代自動車,トヨタ|日産,自動車競合,2024年SNS発言問題,中,朴泰俊,韓国タレント担当,4年
T016,佐々木玲奈,Rena Sasaki,スターダスト,P&G,花王|ユニリーバ,日用品競合,なし,低,山田花子,タレント第一部,10年
T017,橋本大輝,Daiki Hashimoto,フリー,ミズノ,アシックス|ナイキ,スポーツ用品競合,なし,低,田中次郎,スポーツ担当,7年
T018,新垣結衣,Yui Aragaki,レプロ,メルセデス・ベンツ|SK-II,なし,なし,なし,低,山田花子,タレント第一部,10年
